sqlite> select * from domain where sourceid=2 and id<2648365;
Id;Name;Level;sourceid;CategoryName;CatId;Cat2Id;Cat3Id;Invariance;Pcountry
2644710;api.branch.io;3;2;Computer;13;;;5;
2644711;crashlytics.com;2;2;Computer;13;;;5;
2644712;branch.io;2;2;Computer;13;;;5;
2644713;mythings.com;2;2;News;21;;;5;
2644714;bttrack.com;2;2;Ads;11;;;5;
2644715;bidtellect.com;2;2;Ads;11;;;5;
2644716;appsflyer.com;2;2;Computer;13;;;5;
2644717;youtu.be;2;2;Video;30;;;5;
2644718;app.link;2;2;Computer;13;;;5;
2644719;newrelic.com;2;2;Computer;13;;;5;
2644720;flurry.com;2;2;Computer;13;;;5;
2644721;auto.ricardo.ch;3;2;Sports;44;;;5;
2644722;images.ricardostatic.ch;3;2;Computer;13;;;5;
2644723;om.elvenar.com;3;2;Gambling;38;;;5;
2644724;autoricardo.ch;2;2;Sports;44;;;5;
2644725;ricardo.ch;2;2;Games;17;;;5;
2644726;innogames.com;2;2;Gambling;38;;;5;
2644727;optimizely.com;2;2;Computer;13;;;5;
2644728;motoscout24.ch;2;2;Sports;44;;;5;
2644729;autoscout24.ch;2;2;Sports;44;;;5;
2644730;theadex.com;2;2;Ads;11;;;5;
2644731;applovin.com;2;2;Ads;11;;;5;
2644732;nexage.com;2;2;Ads;11;;;5;
2644733;vungle.com;2;2;Computer;13;;;5;
2644734;zanox.com;2;2;Ads;11;;;5;
2644735;hotjar.com;2;2;Computer;13;;;5;
2644736;awin.com;2;2;Ads;11;;;5;
2644737;cloudinary.com;2;2;Computer;13;;;5;
2644738;niutux.com;2;2;Ads;11;;;5;
2644739;mobfox.com;2;2;Computer;13;;;5;
2644740;adjust.com;2;2;Computer;13;;;5;
2644741;anibis.ch;2;2;Adult;1;;;5;
2644742;dn.se;2;2;Weather;31;;;5;
2644743;issuu.com;2;2;Sports;44;;;5;
2644744;p.typekit.net;3;2;Computer;13;;;5;
2644745;logentries.com;2;2;Computer;13;;;5;
2644746;use.typekit.net;3;2;Computer;13;;;5;
2644747;sistyle.ch;2;2;Shopping;26;;;5;
2644748;zendesk.com;2;2;Computer;13;;;5;
2644749;blick.ch;2;2;Sports;44;;;5;
2644751;immoscout24.ch;2;2;Business;7;;;5;
2644752;motorradhandel.ch;2;2;Sports;44;;;5;
2644753;schweizer-illustrierte.ch;2;2;Shopping;26;;;5;
2644754;style-magazin.ch;2;2;Shopping;26;;;5;
2644755;energy.ch;2;2;News;21;;;5;
2644756;ecn.dev.virtualearth.net;4;2;Computer;13;;;5;
2644757;here.com;2;2;Sports;44;;;5;
2644758;dev.virtualearth.net;3;2;Computer;13;;;5;
2644759;typekit.com;2;2;Computer;13;;;5;
2644760;mixpanel.com;2;2;Computer;13;;;5;
2644761;cdn.mxpnl.com;3;2;Computer;13;;;5;
2644762;wistia.com;2;2;Ads;11;;;5;
2644763;ico.bitdice.me;3;2;Gambling;38;;;5;
2644764;adjust.io;2;2;Computer;13;;;5;
2644765;mapbox.com;2;2;Computer;13;;;5;
2644766;switch.ch;2;2;Computer;13;;;5;
2644767;bitmovin.com;2;2;Computer;13;;;5;
2644768;addictionblog.org;2;2;Health;34;;;5;
2644769;callrail.com;2;2;Computer;13;;;5;
2644770;static-464f.kxcdn.com;3;2;Drugs;37;;;5;
2644771;zalando.ch;2;2;Shopping;26;;;5;
2644772;cedexis.com;2;2;Computer;13;;;5;
2644773;herokuapp.com;2;2;Computer;13;;;5;
2644774;heroku.com;2;2;Computer;13;;;5;
2644775;click1.e.tastemade.com;4;2;Computer;13;;;5;
2644776;mailchimp.com;2;2;Ads;11;;;5;
2644777;click1.e.tastemade.com;4;2;Computer;13;;;5;
2644778;click1.e.tastemade.com;4;2;Computer;13;;;5;
2644779;click1.e.tastemade.com;4;2;Computer;13;;;5;
2644780;click1.e.tastemade.com;4;2;Computer;13;;;5;
2644781;tastemade.com;2;2;Computer;13;;;5;
2644782;click1.e.tastemade.com;4;2;Computer;13;;;5;
2644783;adblockplus.org;2;2;Computer;13;;;5;
2644784;nvidia.com;2;2;Computer;13;;;5;
2644785;geforce.com;2;2;Computer;13;;;5;
2644786;verisign.com;2;2;Computer;13;;;5;
2644787;healthline.doctor.com;3;2;Health;34;;;5;
2644788;bookdepository.com;2;2;News;21;;;5;
2644789;healthonnet.org;2;2;Health;34;;;5;
2644790;onlinelibrary.wiley.com;3;2;Health;34;;;5;
2644791;survata.com;2;2;News;21;;;5;
2644792;imdb.de;2;2;News;21;;;5;
2644793;nature.com;2;2;News;21;;;5;
2644794;sciencedirect.com;2;2;Health;34;;;5;
2644795;souq.com;2;2;Shopping;26;;;5;
2644796;gigya.com;2;2;Ads;11;;;5;
2644797;dating.independent.co.uk;4;2;Dating;36;;;5;
2644798;directory.independent.co.uk;4;2;Travel;29;;;5;
2644799;independent.co.uk;3;2;News;21;;;5;
2644800;indy100.com;2;2;Sports;44;;;5;
2644801;psychedelicscience.org.uk;3;2;Health;34;;;5;
2644802;tophatter.com;2;2;Computer;13;;;5;
2644803;ancestry.com;2;2;News;21;;;5;
2644804;standard.co.uk;3;2;Sports;44;;;5;
2644805;en.novayagazeta.ru;3;2;News;21;;;5;
2644806;uae.souq.com;3;2;Shopping;26;;;5;
2644807;brightcove.com;2;2;News;21;;;5;
2644808;cnet.com;2;2;Computer;13;;;5;
2644809;mackweldon.com;2;2;Computer;13;;;5;
2644810;webmd.com;2;2;Health;34;;;5;
2644811;bounceexchange.com;2;2;Ads;11;;;5;
2644812;smyte.com;2;2;Computer;13;;;5;
2644813;ziffdavisinternational.com;2;2;Computer;13;;;5;
2644814;askmen.com;2;2;Dating;36;;;5;
2644815;toolbox.com;2;2;Computer;13;;;5;
2644816;speedtest.net;2;2;Computer;13;;;5;
2644818;zdbb.net;2;2;Computer;13;;;5;
2644819;livestrong.com;2;2;News;21;;;5;
2644820;extremetech.com;2;2;Computer;13;;;5;
2644821;geek.com;2;2;Games;17;;;5;
2644822;pcmag.com;2;2;Computer;13;;;5;
2644823;novayagazeta.ru;2;2;News;21;;;5;
2644824;ziffdavis.com;2;2;Computer;13;;;5;
2644825;bouncex.com;2;2;Ads;11;;;5;
2644827;qualtrics.com;2;2;Computer;13;;;5;
2644829;pippio.com;2;2;Ads;11;;;5;
2644830;sapiensoup.com;2;2;Drugs;37;;;5;
2644831;arbor.io;2;2;Ads;11;;;5;
2644832;sharethis.com;2;2;Computer;13;;;5;
2644833;liveramp.com;2;2;Ads;11;;;5;
2644834;me.com;2;2;Computer;13;;;5;
2644835;chartboost.com;2;2;Computer;13;;;5;
2644836;offers.com;2;2;News;21;;;5;
2644837;urbanairship.com;2;2;Ads;11;;;5;
2644838;adscale.de;2;2;News;21;;;5;
